base,id_formula,idcolor,descripcion,formula_1l
ACCENT,99127,71A1A,DEEP BLUE,E=54 | KX=24 | V=42
ACCENT,99128,71A1A SYC,DEEP BLUE,E=54 | KX=24 | M=70
ACCENT,99140,71B4D SYC,MAJESTIC,E=30 | KX=56 | M=66
ACCENT,99148,71C4D SYC,PURPLE MYSTERY,E=25.5 | KX=50 | L=8.5 | M=56
ACCENT,99154,7205,Petulant Pat,E=34 | KX=24 | M=85
ACCENT,99162,7213,Georgian Court,E=46 | KX=12 | M=92
ACCENT,99171,7221 S2000,Grand Grape,B=29 | E=40 | KX=19 | V=52
ACCENT,99179,7229,Pantry Plum,B=50 | E=25 | KX=18 | M=50
ACCENT,99188,7237,Sailor Boy,E=129 | M=15
ACCENT,99197,7245,Evening Magic,E=66 | KX=12 | M=66
ACCENT,99206,7253,Nautical Blue,E=54 | KX=18 | M=72
ACCENT,99215,7261,After the Rain,B=24 | E=48 | KX=24 | M=48
ACCENT,99223,7269,Evening in Paris,E=108 | KX=10 | M=26
ACCENT,99231,7277,Peacock Plume,E=72 | KX=18 | M=54
ACCENT,99242,7285,Deep Blue Sea,E=48 | KX=19 | L=32 | M=48
ACCENT,99250,7293,Night on the Town,B=26 | E=78 | KX=18 | M=39
ACCENT,99257,72A1A,ORIENTAL NIGHT,E=32 | KX=30 | V=64
ACCENT,99258,72A1A SYC,ORIENTAL NIGHT,E=30.5 | KX=28.5 | M=101
ACCENT,99270,72B4D SYC,HYACINTH,E=16 | KX=48 | M=80
ACCENT,99278,72C4D SYC,VIOLET SEQUIN,E=19 | KX=48 | M=78
ACCENT,99280,7301,Blue Moon Bay,B=34 | E=88 | KX=24 | M=34
ACCENT,99288,7309,Deep Amazon,B=32 | E=90 | KX=8 | M=16
ACCENT,99296,7317,Blue Ribbon,E=95 | KX=14 | M=38
ACCENT,99305,7325,Cascade Twilight,E=100 | KX=16 | M=25
ACCENT,99313,7333,Urban Twilight,B=22 | E=88 | KX=14 | M=43
ACCENT,99321,7341,Prairie Night,E=88 | KX=15 | L=22 | M=22
ACCENT,99331,7349,City Nights,E=138 | KX=6
ACCENT,99339,7357,Blue By You,E=112 | KX=18 | L=16
