COD,ARTIC,PR_CON_IVA,usa_tinto,tipo_tinto,base_tinto,base_fisica_tinto,factor_envase_tinto,ajuste_formula_tinto,factor_tinto,litros_reales,kilos_reales,unidad_detectada,confianza_tinto,regla_tinto,observacion_tinto
44140454,RECUBRICK LADRILLOS NATURAL 4 LTS,78897.86,NO,,,,,,,,,,,,Sin base tintométrica detectada
91200003,RECUBRICK PROTECTOR SILICONADO 1 LT,34543.75,NO,,,,,,,,,,,,Sin base tintométrica detectada
91200007,RECUBRICK PROTECTOR SILICONADO 20 LT,456471.94,NO,,,,,,,,,,,,Sin base tintométrica detectada
91200004,RECUBRICK PROTECTOR SILICONADO 4 LT,105078.23,NO,,,,,,,,,,,,Sin base tintométrica detectada
82923033,RECUFLOOR CERA AUTOBRILLO 1 LTS,37353.37,NO,,,,,,,,,,,,Sin base tintométrica detectada
82923034,RECUFLOOR CERA AUTOBRILLO 5 LTS,170331.13,NO,,,,,,,,,,,,Sin base tintométrica detectada
82923023,RECUFLOOR HIDROLACA 1 LTS,56099.16,NO,,,,,,,,,,,,Sin base tintométrica detectada
82923024,RECUFLOOR HIDROLACA 5 LTS,226581.04,NO,,,,,,,,,,,,Sin base tintométrica detectada
82923053,RECUFLOOR HIDROLACA SATINADA 1 LTS,56099.16,NO,,,,,,,,,,,,Sin base tintométrica detectada
82923054,RECUFLOOR HIDROLACA SATINADA 5 LTS,237557.64,NO,,,,,,,,,,,,Sin base tintométrica detectada
88700003,RECUFLOOR LIMPIADOR 1 LT,15781.18,NO,,,,,,,,,,,,Sin base tintométrica detectada
88700005,RECUFLOOR LIMPIADOR 5 LTS,63037.42,NO,,,,,,,,,,,,Sin base tintométrica detectada
72152601,RECUFLOOR PISOS ALTO TRANSITO AMARILLO 1 LT,70055.71,NO,,,,,,,,,,,,Sin base tintométrica detectada
72152602,RECUFLOOR PISOS ALTO TRANSITO AMARILLO 4 LTS,237276.46,NO,,,,,,,,,,,,Sin base tintométrica detectada
72156871,RECUFLOOR PISOS ALTO TRANSITO AZUL MARINO 1 LT,51463.62,NO,,,,,,,,,,,,Sin base tintométrica detectada
72156872,RECUFLOOR PISOS ALTO TRANSITO AZUL MARINO 4 LTS,171443.69,NO,,,,,,,,,,,,Sin base tintométrica detectada
72151001,RECUFLOOR PISOS ALTO TRANSITO BLANCO 1 L (A+B),51463.62,NO,,,,,,,,,,,,Sin base tintométrica detectada
72151002,RECUFLOOR PISOS ALTO TRANSITO BLANCO 4 LTS,171443.69,NO,,,,,,,,,,,,Sin base tintométrica detectada
72157331,RECUFLOOR PISOS ALTO TRANSITO GRIS 1 LT,49954.93,NO,,,,,,,,,,,,Sin base tintométrica detectada
72157332,RECUFLOOR PISOS ALTO TRANSITO GRIS 4 LTS,161924.97,NO,,,,,,,,,,,,Sin base tintométrica detectada
72157001,RECUFLOOR PISOS ALTO TRANSITO NEGRO 1 LT,51463.62,NO,,,,,,,,,,,,Sin base tintométrica detectada
72157002,RECUFLOOR PISOS ALTO TRANSITO NEGRO 4 LTS,171443.69,NO,,,,,,,,,,,,Sin base tintométrica detectada
72154031,RECUFLOOR PISOS ALTO TRANSITO ROJO 1 LT,49954.93,NO,,,,,,,,,,,,Sin base tintométrica detectada
72154032,RECUFLOOR PISOS ALTO TRANSITO ROJO 4 LTS,166551.41,NO,,,,,,,,,,,,Sin base tintométrica detectada
72155751,RECUFLOOR PISOS ALTO TRANSITO VERDE INGLES 1 LT,51463.62,NO,,,,,,,,,,,,Sin base tintométrica detectada
72155752,RECUFLOOR PISOS ALTO TRANSITO VERDE INGLES 4 LTS,171443.69,NO,,,,,,,,,,,,Sin base tintométrica detectada
84912263,RECUFLOOR PISOS AMARILLO 1 LT,30326.58,NO,,,,,,,,,,,,Sin base tintométrica detectada
84912267,RECUFLOOR PISOS AMARILLO 20 LTS,491371.53,NO,,,,,,,,,,,,Sin base tintométrica detectada
84912264,RECUFLOOR PISOS AMARILLO 4 LTS,107176.91,NO,,,,,,,,,,,,Sin base tintométrica detectada
84916233,RECUFLOOR PISOS AZUL 1 LTS,20100.08,NO,,,,,,,,,,,,Sin base tintométrica detectada
84916237,RECUFLOOR PISOS AZUL 20 LTS,285897.94,NO,,,,,,,,,,,,Sin base tintométrica detectada
84916234,RECUFLOOR PISOS AZUL 4 LTS,66124.87,NO,,,,,,,,,,,,Sin base tintométrica detectada
84910973,RECUFLOOR PISOS BASE DEEP 1 LT,575.33,SI,PINTURA,DEEP,DEEP,1,1,1,1,,L,ALTA,auto_base_en_nombre,Presentación 1L
10974-1/2,RECUFLOOR PISOS BASE DEEP 1/2 LTS,10615.15,SI,PINTURA,DEEP,DEEP,0.5,1,0.5,0.5,,L,ALTA,auto_base_en_nombre,1/2 detectado
84910974,RECUFLOOR PISOS BASE DEEP 4 LTS,1282.77,SI,PINTURA,DEEP,DEEP,4,1,4,4,,L,ALTA,auto_base_en_nombre,Presentación 4L
84911003,RECUFLOOR PISOS BLANCO 1 LTS,24514.55,NO,,,,,,,,,,,,Sin base tintométrica detectada
84911007,RECUFLOOR PISOS BLANCO 20 LTS,382330.28,NO,,,,,,,,,,,,Sin base tintométrica detectada
84911004,RECUFLOOR PISOS BLANCO 4 LTS,84840.90,NO,,,,,,,,,,,,Sin base tintométrica detectada
84917243,RECUFLOOR PISOS GRIS 1 LTS,24514.55,NO,,,,,,,,,,,,Sin base tintométrica detectada
84917247,RECUFLOOR PISOS GRIS 20 LTS,382330.28,NO,,,,,,,,,,,,Sin base tintométrica detectada
84917244,RECUFLOOR PISOS GRIS 4 LTS,84840.90,NO,,,,,,,,,,,,Sin base tintométrica detectada
84917423,RECUFLOOR PISOS GRIS CEMENTO 1 LTS,20100.08,NO,,,,,,,,,,,,Sin base tintométrica detectada
84917427,RECUFLOOR PISOS GRIS CEMENTO 20 LTS,285897.94,NO,,,,,,,,,,,,Sin base tintométrica detectada
84917424,RECUFLOOR PISOS GRIS CEMENTO 4 LTS,66124.87,NO,,,,,,,,,,,,Sin base tintométrica detectada
84917013,RECUFLOOR PISOS NEGRO 1 LTS,20100.08,NO,,,,,,,,,,,,Sin base tintométrica detectada
84917017,RECUFLOOR PISOS NEGRO 20 LTS,285897.94,NO,,,,,,,,,,,,Sin base tintométrica detectada
84917014,RECUFLOOR PISOS NEGRO 4 LTS,66124.87,NO,,,,,,,,,,,,Sin base tintométrica detectada
84914113,RECUFLOOR PISOS ROJO 1 LTS,20100.08,NO,,,,,,,,,,,,Sin base tintométrica detectada
84914117,RECUFLOOR PISOS ROJO 20 LTS,285897.94,NO,,,,,,,,,,,,Sin base tintométrica detectada
84914114,RECUFLOOR PISOS ROJO 4 LTS,66124.87,NO,,,,,,,,,,,,Sin base tintométrica detectada
84915173,RECUFLOOR PISOS VERDE 1 LTS,20100.08,NO,,,,,,,,,,,,Sin base tintométrica detectada
84915177,RECUFLOOR PISOS VERDE 20 LTS,285897.94,NO,,,,,,,,,,,,Sin base tintométrica detectada
84915174,RECUFLOOR PISOS VERDE 4 LTS,66124.87,NO,,,,,,,,,,,,Sin base tintométrica detectada
84987003,RECUFLOOR PROTECTOR NEGRO 1 LTS,39451.32,NO,,,,,,,,,,,,Sin base tintométrica detectada
84987005,RECUFLOOR PROTECTOR NEGRO 5 LTS,134175.31,NO,,,,,,,,,,,,Sin base tintométrica detectada
84984013,RECUFLOOR PROTECTOR ROJO 1 LTS,44930.60,NO,,,,,,,,,,,,Sin base tintométrica detectada
84984015,RECUFLOOR PROTECTOR ROJO 5 LTS,134175.31,NO,,,,,,,,,,,,Sin base tintométrica detectada
84980003,RECUFLOOR PROTECTOR TRANSPARENTE 1 LTS,39862.28,NO,,,,,,,,,,,,Sin base tintométrica detectada
84980005,RECUFLOOR PROTECTOR TRANSPARENTE 5 LTS,121817.38,NO,,,,,,,,,,,,Sin base tintométrica detectada
60400003,"RECUMIX ADHESIVO DE CERAMICOS 1,25 KGS",7533.44,NO,,,,,,,,,,,,Sin base tintométrica detectada
60400004,RECUMIX ADHESIVO DE CERAMICOS 5 KGS,23830.27,NO,,,,,,,,,,,,Sin base tintométrica detectada
